idobj;nom_complet;commune;adresse;telephone;site_web;code_postal;location;presentation;capacite_voiture;service_velo;stationnement_velo;stationnement_velo_securise;conditions_d_acces;exploitant
4010;Aire de covoiturage Piano'cktail;Bouguenais;Rue Ginsheim Gustavsburg;;https://www.ouestgo.fr/;44340;47.17439210499998,-1.6053927140000042;Les aires de covoiturage de Nantes Métropole sont accessibles 24h24 et 7j/7.;100;NON;NON;NON;Libre;Commune de Bouguenais
4017;Aire de covoiturage Les 3 Brasseurs;Saint-Sébastien-sur-Loire;Rue Marie Curie;;https://www.ouestgo.fr/;44230;47.190931190000015,-1.4894498269999872;Les aires de covoiturage de Nantes Métropole sont accessibles 24h24 et 7j/7.;10;NON;NON;NON;Libre;Restaurant Les 3 Brasseurs
4018;Aire de covoiturage La Charmelière;Carquefou;Route de Thouaré;;https://www.ouestgo.fr/;44470;47.294827594000026,-1.4738172200000008;Les aires de covoiturage de Nantes Métropole sont accessibles 24h24 et 7j/7.;53;NON;NON;NON;Libre;Institut Familial et Rural de la Charmelière
5050;Aire de covoiturage de Brains;Brains;Rue Professeur Yves Boquien;;https://www.ouestgo.fr/;44830;47.17147343800002,-1.7182262349999746;<p>Les aires de covoiturage de Nantes Métropole sont accessibles 24h24 et 7j/7.</p>;5;OUI;OUI;NON;Libre;Nantes Métropole
5366;Aire de covoiturage Beausoleil;Orvault;Rue de Beausoleil;;https://www.ouestgo.fr/;44700;47.279303578,-1.640728915000011;Les aires de covoiturage de Nantes Métropole sont accessibles 24h24 et 7j/7.;;NON;NON;NON;Libre;Nantes Métropole
4011;Aire de covoiturage Le Paradis;Couëron;Rue du Paradis;;https://www.ouestgo.fr/;44220;47.20584329899998,-1.7516156780000074;Les aires de covoiturage de Nantes Métropole sont accessibles 24h24 et 7j/7.;10;NON;NON;NON;Libre;Nantes Métropole
4012;Aire de covoiturage Le Vélodrôme;Couëron;Boulevard Francois Blancho;;https://www.ouestgo.fr/;44220;47.21149114000002,-1.7355358679999995;Les aires de covoiturage de Nantes Métropole sont accessibles 24h24 et 7j/7.;160;NON;NON;NON;Libre;Nantes Métropole
4016;Aire de covoiturage Pas Enchantés;Saint-Sébastien-sur-Loire;Boulevard des Pas Enchantés;;https://www.ouestgo.fr/;44230;47.210388932,-1.5039410559999737;Les aires de covoiturage de Nantes Métropole sont accessibles 24h24 et 7j/7.;26;NON;NON;NON;Libre;Commune de Saint-Sébastien sur Loire
4929;Aire de covoiturage Ile Chaland;Basse-Goulaine;Rue de l'Ile Chaland;;https://www.ouestgo.fr/;44115;47.220095367,-1.4521887509999942;Les aires de covoiturage de Nantes Métropole sont accessibles 24h24 et 7j/7.;38;NON;NON;NON;Libre;Département de Loire-Atlantique
5548;Aire de covoiturage de la Courneuve;Les Sorinières;VM 137;;https://www.ouestgo.fr/;44840;47.131735502000026,-1.509310776999996;<p>L'aire est située contre le rond-point en sortie de l'échangeur n°2 de l'A83.</p>;27;Non;NON;OUI;Libre;Nantes Métropole
